pe_id,throughput,data_size,epoch_size,group,op,num_pe
7,139219.53,1,1,atomic,fetch-add64,8
0,270434.31,1,2,atomic,fetch-add64,8
1,270473.84,1,2,atomic,fetch-add64,8
2,270467.65,1,2,atomic,fetch-add64,8
3,270493.42,1,2,atomic,fetch-add64,8
4,270457.08,1,2,atomic,fetch-add64,8
5,270451.13,1,2,atomic,fetch-add64,8
6,270448.07,1,2,atomic,fetch-add64,8
7,270445.51,1,2,atomic,fetch-add64,8
0,462246.65,1,4,atomic,fetch-add64,8
1,462185.06,1,4,atomic,fetch-add64,8
2,462233.98,1,4,atomic,fetch-add64,8
3,462242.97,1,4,atomic,fetch-add64,8
4,462178.84,1,4,atomic,fetch-add64,8
5,462202.20,1,4,atomic,fetch-add64,8
6,462113.84,1,4,atomic,fetch-add64,8
7,462212.82,1,4,atomic,fetch-add64,8
0,466731.37,1,8,atomic,fetch-add64,8
1,466847.13,1,8,atomic,fetch-add64,8
2,466840.07,1,8,atomic,fetch-add64,8
3,466869.29,1,8,atomic,fetch-add64,8
4,466844.83,1,8,atomic,fetch-add64,8
5,466842.72,1,8,atomic,fetch-add64,8
6,466849.89,1,8,atomic,fetch-add64,8
7,466779.32,1,8,atomic,fetch-add64,8
0,468737.52,1,16,atomic,fetch-add64,8
1,468839.14,1,16,atomic,fetch-add64,8
2,468924.21,1,16,atomic,fetch-add64,8
3,468748.16,1,16,atomic,fetch-add64,8
4,468826.42,1,16,atomic,fetch-add64,8
5,468822.96,1,16,atomic,fetch-add64,8
6,468913.45,1,16,atomic,fetch-add64,8
7,468829.03,1,16,atomic,fetch-add64,8
0,472994.46,1,32,atomic,fetch-add64,8
1,473091.92,1,32,atomic,fetch-add64,8
2,473187.35,1,32,atomic,fetch-add64,8
3,473088.91,1,32,atomic,fetch-add64,8
4,473092.48,1,32,atomic,fetch-add64,8
5,472910.03,1,32,atomic,fetch-add64,8
6,473280.53,1,32,atomic,fetch-add64,8
7,472998.20,1,32,atomic,fetch-add64,8
